database_row,knot,knotinfo_name,dt_name,alternating,crossing_number,input_interval,certified_lower_bound,output_interval,consequence,signature,determinant,seifert_size,algebraic_unknotting_in_workbook,already_implied_by_workbook,kind,field,field_order,prime,specialization,minimal_polynomial,nullity
12556,13n4698,13n_4698,13n_4698,N,13,"[1,3]",2,"[2,3]",improved,-2,95,28,,False,quadratic,F_9,9,3,x,x^2+1,2
12571,13n4713,13n_4713,13n_4713,N,13,"[1,2]",2,2,exact u=2,-2,27,10,,False,scalar,F_3,3,3,2,x-2,2
12573,13n4715,13n_4715,13n_4715,N,13,"[1,3]",2,"[2,3]",improved,2,135,16,,False,scalar,F_3,3,3,2,x-2,2
12575,13n4717,13n_4717,13n_4717,N,13,"[1,3]",2,"[2,3]",improved,2,195,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12578,13n4720,13n_4720,13n_4720,N,13,"[1,2]",2,2,exact u=2,2,27,10,,False,scalar,F_3,3,3,2,x-2,2
12584,13n4726,13n_4726,13n_4726,N,13,"[1,2]",2,2,exact u=2,2,43,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12585,13n4727,13n_4727,13n_4727,N,13,"[1,2]",2,2,exact u=2,2,91,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12587,13n4729,13n_4729,13n_4729,N,13,"[1,2]",2,2,exact u=2,-2,195,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12588,13n4730,13n_4730,13n_4730,N,13,"[1,2]",2,2,exact u=2,-2,219,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12590,13n4732,13n_4732,13n_4732,N,13,"[1,2]",2,2,exact u=2,0,225,16,,False,quadratic,F_9,9,3,x,x^2+1,2
12601,13n4743,13n_4743,13n_4743,N,13,"[1,2]",2,2,exact u=2,2,187,18,,False,quadratic,F_25,25,5,x,x^2+x+1,2
12604,13n4746,13n_4746,13n_4746,N,13,"[1,2]",2,2,exact u=2,0,153,28,,False,scalar,F_5,5,5,2,x-2,2
12628,13n4770,13n_4770,13n_4770,N,13,"[1,2]",2,2,exact u=2,0,165,28,,False,quadratic,F_9,9,3,x,x^2+1,2
12629,13n4771,13n_4771,13n_4771,N,13,"[1,3]",2,"[2,3]",improved,2,175,18,,False,scalar,F_5,5,5,4,x-4,2
12689,13n4831,13n_4831,13n_4831,N,13,"[1,3]",2,"[2,3]",improved,-2,175,10,,False,scalar,F_5,5,5,4,x-4,2
