knot,interval,det,signature,status,mG0,Qe_params
13a_574,"[2, 3]",273,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 46, 0, 3, 91], [4, 20, 0, 7, 39], [12, 12, 8, 23, 23], [24, 24, 22, 47, 47]]"
13a_586,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
13a_594,"[2, 3]",249,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 42, 0, 3, 83], [6, 12, 1, 11, 23], [8, 10, 3, 15, 19], [22, 22, 20, 43, 43]]"
13a_596,"[2, 3]",245,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 18, 0, 7, 35], [2, 42, 1, 3, 83], [8, 12, 5, 15, 23], [14, 14, 11, 27, 27], [62, 62, 61, 123, 123]]"
13a_601,"[2, 3]",245,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 18, 0, 7, 35], [2, 42, 1, 3, 83], [8, 12, 5, 15, 23], [14, 14, 11, 27, 27], [62, 62, 61, 123, 123]]"
13a_617,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
13a_618,"[2, 3]",337,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 16, 1, 11, 31], [10, 12, 5, 19, 23]]"
13a_624,"[2, 3]",97,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 10, 3, 7, 19]]"
13a_631,"[2, 3]",153,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 0, 3, 51], [4, 14, 3, 7, 27], [6, 12, 5, 11, 23], [14, 14, 12, 27, 27]]"
13a_636,"[2, 3]",153,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 0, 3, 51], [4, 14, 3, 7, 27], [6, 12, 5, 11, 23], [14, 14, 12, 27, 27]]"
13a_653,"[2, 3]",149,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 1, 3, 51], [6, 8, 2, 11, 15], [8, 12, 7, 15, 23], [38, 38, 37, 75, 75]]"
13a_661,"[2, 3]",233,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 40, 1, 3, 79], [6, 14, 4, 11, 27], [20, 22, 19, 39, 43]]"
13a_666,"[2, 3]",157,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 12, 1, 7, 23], [40, 40, 39, 79, 79]]"
13a_670,"[2, 3]",177,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 30, 0, 3, 59], [16, 16, 14, 31, 31]]"
13a_721,"[2, 3]",237,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 40, 0, 3, 79], [6, 12, 2, 11, 23], [4, 20, 3, 7, 39], [60, 60, 59, 119, 119]]"
13a_743,"[2, 3]",301,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 22, 0, 7, 43], [16, 18, 14, 31, 35], [76, 76, 75, 151, 151]]"
13a_798,"[2, 3]",277,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 16, 4, 11, 31], [70, 70, 69, 139, 139]]"
13a_819,"[2, 3]",249,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 42, 0, 3, 83], [6, 12, 1, 11, 23], [8, 10, 3, 15, 19], [22, 22, 20, 43, 43]]"
13a_861,"[2, 3]",157,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 12, 1, 7, 23], [40, 40, 39, 79, 79]]"
13a_1051,"[2, 3]",357,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 60, 0, 3, 119], [4, 26, 0, 7, 51], [10, 10, 1, 19, 19], [90, 90, 89, 179, 179]]"
13a_1112,"[2, 3]",205,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 1, 11, 19], [12, 12, 9, 23, 23], [52, 52, 51, 103, 103]]"
13a_1149,"[2, 3]",257,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 44, 1, 3, 87], [4, 20, 2, 7, 39], [10, 14, 8, 19, 27], [22, 24, 21, 43, 47]]"
13a_1224,"[2, 3]",149,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 1, 3, 51], [6, 8, 2, 11, 15], [8, 12, 7, 15, 23], [38, 38, 37, 75, 75]]"
13a_1247,"[2, 3]",205,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 1, 11, 19], [12, 12, 9, 23, 23], [52, 52, 51, 103, 103]]"
13a_1255,"[2, 3]",265,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 22, 3, 7, 43], [10, 16, 9, 19, 31]]"
13a_1295,"[2, 3]",229,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 18, 2, 7, 35], [12, 16, 11, 23, 31], [58, 58, 57, 115, 115]]"
13a_1329,"[2, 3]",373,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[10, 12, 4, 19, 23], [6, 22, 5, 11, 43], [94, 94, 93, 187, 187]]"
13a_1339,"[2, 3]",265,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 22, 3, 7, 43], [10, 16, 9, 19, 31]]"
13a_1377,"[2, 3]",209,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 0, 11, 19], [2, 36, 1, 3, 71], [8, 8, 2, 15, 15], [4, 18, 3, 7, 35], [8, 14, 7, 15, 27], [18, 20, 17, 35, 39]]"
13a_1378,"[2, 3]",273,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 46, 0, 3, 91], [4, 20, 0, 7, 39], [12, 12, 8, 23, 23], [24, 24, 22, 47, 47]]"
13a_1383,"[2, 3]",213,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 36, 0, 3, 71], [4, 16, 1, 7, 31], [54, 54, 53, 107, 107]]"
13a_1452,"[2, 3]",177,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 30, 0, 3, 59], [16, 16, 14, 31, 31]]"
13a_1462,"[2, 3]",165,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 28, 0, 3, 55], [6, 8, 0, 11, 15], [10, 10, 7, 19, 19], [42, 42, 41, 83, 83]]"
13a_1469,"[2, 3]",221,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 38, 1, 3, 75], [8, 8, 1, 15, 15], [8, 10, 4, 15, 19], [12, 14, 10, 23, 27], [56, 56, 55, 111, 111]]"
13a_1472,"[2, 3]",209,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 0, 11, 19], [2, 36, 1, 3, 71], [8, 8, 2, 15, 15], [4, 18, 3, 7, 35], [8, 14, 7, 15, 27], [18, 20, 17, 35, 39]]"
13a_1475,"[2, 3]",113,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 20, 1, 3, 39], [10, 12, 9, 19, 23]]"
13a_1495,"[2, 3]",257,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 44, 1, 3, 87], [4, 20, 2, 7, 39], [10, 14, 8, 19, 27], [22, 24, 21, 43, 47]]"
13a_1499,"[2, 3]",325,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 24, 1, 7, 47], [6, 16, 2, 11, 31], [10, 10, 3, 19, 19], [18, 18, 15, 35, 35], [82, 82, 81, 163, 163]]"
13a_1503,"[2, 3]",233,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 40, 1, 3, 79], [6, 14, 4, 11, 27], [20, 22, 19, 39, 43]]"
13a_1541,"[2, 3]",345,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 58, 0, 3, 115], [8, 12, 0, 15, 23], [10, 10, 2, 19, 19], [30, 30, 28, 59, 59]]"
13a_1543,"[2, 3]",393,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 66, 0, 3, 131], [6, 20, 3, 11, 39], [10, 16, 7, 19, 31], [34, 34, 32, 67, 67]]"
13a_1547,"[2, 3]",137,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 24, 1, 3, 47], [12, 14, 11, 23, 27]]"
13a_1552,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
13a_1557,"[2, 3]",225,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 38, 0, 3, 75], [8, 8, 0, 15, 15], [20, 20, 18, 39, 39]]"
13a_1559,"[2, 3]",213,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 36, 0, 3, 71], [4, 16, 1, 7, 31], [54, 54, 53, 107, 107]]"
13a_1583,"[2, 3]",145,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 12, 2, 7, 23], [6, 10, 4, 11, 19]]"
13a_1584,"[2, 3]",165,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 28, 0, 3, 55], [6, 8, 0, 11, 15], [10, 10, 7, 19, 19], [42, 42, 41, 83, 83]]"
13a_1586,"[2, 3]",309,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 52, 0, 3, 103], [8, 12, 3, 15, 23], [16, 20, 15, 31, 39], [78, 78, 77, 155, 155]]"
13a_1603,"[2, 3]",297,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 50, 0, 3, 99], [6, 14, 0, 11, 27], [4, 22, 1, 7, 43], [10, 10, 4, 19, 19], [12, 14, 9, 23, 27], [26, 26, 24, 51, 51]]"
13a_1617,"[2, 3]",261,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 44, 0, 3, 87], [6, 14, 3, 11, 27], [10, 10, 5, 19, 19], [8, 14, 6, 15, 27], [14, 16, 12, 27, 31], [66, 66, 65, 131, 131]]"
13a_1618,"[2, 3]",217,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 16, 0, 7, 31], [6, 12, 3, 11, 23], [10, 10, 6, 19, 19]]"
13a_1645,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
13a_1699,"[2, 3]",349,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 28, 3, 7, 55], [6, 18, 3, 11, 35], [18, 22, 17, 35, 43], [88, 88, 87, 175, 175]]"
13a_1703,"[2, 3]",265,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 22, 3, 7, 43], [10, 16, 9, 19, 31]]"
13a_1969,"[2, 3]",333,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 56, 0, 3, 111], [12, 12, 7, 23, 23], [10, 16, 8, 19, 31], [84, 84, 83, 167, 167]]"
13a_1974,"[2, 3]",153,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 0, 3, 51], [4, 14, 3, 7, 27], [6, 12, 5, 11, 23], [14, 14, 12, 27, 27]]"
13a_1985,"[2, 3]",273,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 46, 0, 3, 91], [4, 20, 0, 7, 39], [12, 12, 8, 23, 23], [24, 24, 22, 47, 47]]"
13a_2042,"[2, 3]",153,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 0, 3, 51], [4, 14, 3, 7, 27], [6, 12, 5, 11, 23], [14, 14, 12, 27, 27]]"
13a_2125,"[2, 3]",237,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 40, 0, 3, 79], [6, 12, 2, 11, 23], [4, 20, 3, 7, 39], [60, 60, 59, 119, 119]]"
13a_2158,"[2, 3]",285,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 48, 0, 3, 95], [8, 10, 0, 15, 19], [4, 22, 2, 7, 43], [6, 18, 5, 11, 35], [16, 16, 13, 31, 31], [72, 72, 71, 143, 143]]"
13a_2159,"[2, 3]",305,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 52, 1, 3, 103], [6, 16, 3, 11, 31], [8, 14, 5, 15, 27], [26, 28, 25, 51, 55]]"
13a_2176,"[2, 3]",237,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 40, 0, 3, 79], [6, 12, 2, 11, 23], [4, 20, 3, 7, 39], [60, 60, 59, 119, 119]]"
13a_2194,"[2, 3]",329,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 24, 0, 7, 47], [2, 56, 1, 3, 111], [8, 12, 2, 15, 23], [6, 20, 5, 11, 39], [8, 18, 7, 15, 35], [14, 14, 10, 27, 27], [28, 30, 27, 55, 59]]"
13a_2238,"[2, 3]",205,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 1, 11, 19], [12, 12, 9, 23, 23], [52, 52, 51, 103, 103]]"
13a_2263,"[2, 3]",193,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 2, 11, 19]]"
13a_2284,"[2, 3]",177,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 30, 0, 3, 59], [16, 16, 14, 31, 31]]"
13a_2290,"[2, 3]",185,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 32, 1, 3, 63], [4, 14, 1, 7, 27], [8, 10, 5, 15, 19], [16, 18, 15, 31, 35]]"
13a_2291,"[2, 3]",205,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 1, 11, 19], [12, 12, 9, 23, 23], [52, 52, 51, 103, 103]]"
